Subject's age,Subject's gender,Subject's race,"Dispositions/Exclusions INTERNAL USE, NOT FOR ANALYSIS",Location of death (state),Cause of death,Date (Year),Age Range
20-30,Male,African-American/Black,Excusable,AL,Tasered,2007,22
40-50,Male,European-American/White,Unreported,CA,Gunshot,2007,45
40-50,Male,Race unspecified,Unreported,NJ,Vehicle,2007,42
40-50,Male,Race unspecified,Suicide,KS,Gunshot,2007,41
30-40,Male,European-American/White,Unreported,TX,Gunshot,2007,34
70+,Female,Race unspecified,Cleared,IN,Gunshot,2007,74
20-30,Male,Race unspecified,Unreported,CA,Tasered,2007,25
20-30,Male,Race unspecified,Unreported,KS,Vehicle,2007,24
10-20,Female,Race unspecified,Unreported,KS,Vehicle,2007,19
20-30,Male,African-American/Black,Unreported,AL,Vehicle,2007,29
30-40,Male,Hispanic/Latino,Justified,OK,Gunshot,2007,34
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2007,23
20-30,Male,European-American/White,Unreported,IN,Gunshot,2007,27
30-40,Male,Race unspecified,Accidental,MO,Beaten/Bludgeoned with instrument,2007,38
20-30,Male,Race unspecified,Unreported,OR,Gunshot,2007,27
20-30,Male,Race unspecified,Unknown,MS,Gunshot,2007,25
10-20,Male,Race unspecified,Suicide,VA,Gunshot,2007,18
10-20,Male,African-American/Black,Justified,CA,Gunshot,2007,19
50-60,Male,Race unspecified,Justified,IA,Gunshot,2007,56
20-30,Male,European-American/White,Cleared,IA,Vehicle,2007,20
50-60,Male,Race unspecified,Unreported,NC,Vehicle,2007,51
20-30,Male,Race unspecified,Justified,FL,Gunshot,2007,23
30-40,Male,Hispanic/Latino,Unreported,CA,Gunshot,2007,30
50-60,Male,European-American/White,Unreported,AZ,Gunshot,2007,50
20-30,Male,Hispanic/Latino,Unreported,CA,Vehicle,2007,20
30-40,Male,African-American/Black,Unreported,TX,Gunshot,2007,32
20-30,Male,African-American/Black,Unknown,GA,Gunshot,2007,27
40-50,Male,Race unspecified,Unreported,MD,Gunshot,2007,49
40-50,Female,Race unspecified,Unreported,IN,Vehicle,2007,44
20-30,Male,Race unspecified,Justified,VA,Gunshot,2007,23
50-60,Male,European-American/White,Unreported,CA,Vehicle,2007,57
30-40,Male,African-American/Black,Unreported,AZ,Gunshot,2007,38
50-60,Male,Race unspecified,Unreported,PA,Gunshot,2007,54
30-40,Male,Race unspecified,Suicide,SC,Gunshot,2007,31
20-30,Male,Race unspecified,Justified,CA,Gunshot,2007,29
20-30,Male,Race unspecified,Unreported,CA,Vehicle,2007,22
20-30,Male,Race unspecified,Criminal,IL,Gunshot,2007,27
40-50,Male,Race unspecified,Unreported,VA,Gunshot,2007,43
20-30,Male,Middle Eastern,Unreported,MO,Gunshot,2007,21
20-30,Female,European-American/White,Unreported,MI,Vehicle,2007,23
40-50,Female,European-American/White,Other justified (Civilian board/Prosecutor/District Attorney/Coroner),MI,Gunshot,2007,46
60-70,Female,African-American/Black,Unknown,MS,Vehicle,2007,69
10-20,Male,Race unspecified,Justified,MT,Gunshot,2007,13
20-30,Male,European-American/White,Justified,WI,Gunshot,2007,25
50-60,Male,Race unspecified,Cleared,CA,Beaten/Bludgeoned with instrument,2007,55
40-50,Female,European-American/White,Cleared,CA,Gunshot,2007,48
40-50,Male,European-American/White,Cleared,CA,Gunshot,2007,49
20-30,Male,European-American/White,Unknown,CT,Tasered,2007,26
10-20,Male,Race unspecified,Unreported,WI,Vehicle,2007,16
20-30,Male,Hispanic/Latino,Unreported,TX,Medical emergency,2007,28
20-30,Male,African-American/Black,Justified,KS,Gunshot,2007,25
60-70,Male,African-American/Black,Justified,IL,Gunshot,2007,66
20-30,Male,Hispanic/Latino,Grand jury/No bill or Cleared,TX,Gunshot,2007,20
30-40,Male,Race unspecified,Unreported,PA,Gunshot,2007,37
30-40,Male,Race unspecified,Cleared,SC,Tasered,2007,35
40-50,Female,African-American/Black,Unreported,MD,Tasered,2007,43
40-50,Male,European-American/White,Unreported,IN,Gunshot,2007,45
40-50,Male,African-American/Black,Ruled suicide,TX,Gunshot,2007,43
20-30,Male,European-American/White,Unreported,NY,Gunshot,2007,23
20-30,Male,European-American/White,Unreported,NY,Gunshot,2007,29
20-30,Male,European-American/White,Criminal,MD,Vehicle,2007,24
20-30,Female,European-American/White,Unreported,TX,Drug overdose,2007,22
20-30,Male,African-American/Black,Justified,IL,Gunshot,2007,26
30-40,Male,Hispanic/Latino,Justified,OH,Gunshot,2007,30
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2007,21
30-40,Male,African-American/Black,Justified,TN,Gunshot,2007,35
20-30,Male,Race unspecified,Justified,FL,Gunshot,2007,25
20-30,Male,Race unspecified,Unreported,KS,Vehicle,2007,28
30-40,Male,European-American/White,Justified,OK,Gunshot,2007,31
20-30,Male,European-American/White,Justified,UT,Gunshot,2007,26
0-10,Unknown,Race unspecified,Unreported,MI,Vehicle,2007,0
Unknown,Male,Race unspecified,Unreported,MI,Gunshot,2007,0
Unknown,Male,Race unspecified,Unreported,MD,Gunshot,2007,0
20-30,Male,Race unspecified,Unreported,CA,Gunshot,2007,23
20-30,Male,European-American/White,Justified,IL,Gunshot,2007,23
30-40,Male,European-American/White,Cleared,IA,Gunshot,2007,35
30-40,Male,European-American/White,Unreported,LA,Vehicle,2007,30
40-50,Male,Hispanic/Latino,Criminal,NY,Beaten/Bludgeoned with instrument,2007,42
50-60,Male,European-American/White,Justified,MO,Gunshot,2007,51
10-20,Male,Hispanic/Latino,Unreported,TX,Vehicle,2007,17
10-20,Male,European-American/White,Justified,KY,Gunshot,2007,16
20-30,Male,Asian/Pacific Islander,Unreported,NJ,Gunshot,2007,25
40-50,Male,Hispanic/Latino,Suicide,TX,Gunshot,2007,41
30-40,Male,European-American/White,Unreported,OH,Gunshot,2007,38
30-40,Male,European-American/White,Excusable,WA,Tasered,2007,37
30-40,Male,Race unspecified,Unreported,PA,Gunshot,2007,34
20-30,Male,Race unspecified,Suicide,KY,Gunshot,2007,25
30-40,Male,Race unspecified,Unreported,AZ,Gunshot,2007,30
20-30,Male,Race unspecified,Suicide,PA,Gunshot,2007,22
20-30,Male,Hispanic/Latino,Justified,CA,Gunshot,2007,27
30-40,Male,Race unspecified,Justified,IL,Gunshot,2007,39
30-40,Female,European-American/White,Officer indicted/Guilty,KS,Gunshot,2007,31
30-40,Male,Hispanic/Latino,Ruled suicide,TX,Stabbed,2007,36
70+,Male,Race unspecified,Justified,MS,Gunshot,2007,79
40-50,Male,Hispanic/Latino,Justified,TX,Gunshot,2007,46
30-40,Male,Race unspecified,Justified,FL,Tasered,2007,33
50-60,Male,Hispanic/Latino,Justified,NV,Gunshot,2007,53
20-30,Male,Hispanic/Latino,Grand jury/No bill or Cleared,TX,Gunshot,2007,20
20-30,Female,African-American/Black,Unreported,TX,Medical emergency,2007,27
40-50,Female,African-American/Black,Unreported,TX,Gunshot,2007,42
10-20,Male,African-American/Black,Justified,TX,Gunshot,2007,15
Unknown,Male,Race unspecified,Unreported,AZ,Gunshot,2007,0
Unknown,Male,Race unspecified,Unreported,GA,Tasered,2007,0
50-60,Male,Race unspecified,Unknown,MS,Tasered,2007,59
40-50,Male,Race unspecified,Unreported,FL,Tasered,2007,45
30-40,Male,African-American/Black,Unreported,FL,Gunshot,2007,33
20-30,Male,Hispanic/Latino,Unreported,TX,Drug overdose,2007,28
40-50,Male,Race unspecified,Justified,TN,Gunshot,2007,40
20-30,Male,Race unspecified,Justified,OH,Gunshot,2007,23
40-50,Male,Race unspecified,Unreported,OH,Vehicle,2007,45
20-30,Male,Race unspecified,Justified,IL,Gunshot,2007,21
20-30,Male,African-American/Black,Unreported,CA,Gunshot,2007,20
40-50,Male,Race unspecified,Suicide,VA,Gunshot,2007,42
20-30,Male,Race unspecified,Justified,OH,Gunshot,2007,20
20-30,Male,Race unspecified,Unreported,MD,Gunshot,2007,23
70+,Male,Hispanic/Latino,Justified,TX,Gunshot,2007,77
30-40,Male,Hispanic/Latino,Unreported,CA,Gunshot,2007,30
50-60,Male,European-American/White,Unreported,CA,Gunshot,2007,52
20-30,Female,Hispanic/Latino,Criminal,NY,Gunshot,2007,22
40-50,Male,African-American/Black,Justified,MN,Gunshot,2007,46
50-60,Male,Race unspecified,Unreported,WA,Tasered,2007,54
40-50,Male,Race unspecified,Suicide,AR,Gunshot,2007,41
20-30,Male,Hispanic/Latino,Justified,TX,Gunshot,2007,22
10-20,Male,Hispanic/Latino,Unreported,CA,Gunshot,2007,19
Unknown,Male,Race unspecified,Unreported,OK,Vehicle,2007,0
10-20,Male,European-American/White,Unreported,CO,Vehicle,2007,17
40-50,Male,Race unspecified,Cleared,OH,Tasered,2007,42
40-50,Male,Race unspecified,Unknown,ID,Gunshot,2007,47
20-30,Male,European-American/White,Unreported,IA,Vehicle,2007,22
30-40,Male,Race unspecified,Unreported,MD,Tasered,2007,31
30-40,Male,Hispanic/Latino,Cleared,CA,Tasered,2007,33
20-30,Male,European-American/White,Justified,KS,Tasered,2007,20
30-40,Male,Race unspecified,Grand jury/No bill or Cleared,GA,Gunshot,2007,34
30-40,Male,European-American/White,Grand jury/No bill or Cleared,TX,Gunshot,2007,39
40-50,Male,Hispanic/Latino,Unreported,CA,Gunshot,2007,42
50-60,Male,Asian/Pacific Islander,Unreported,OR,Gunshot,2007,53
60-70,Female,Race unspecified,Unreported,GA,Vehicle,2007,63
40-50,Male,Race unspecified,Unknown,MS,Vehicle,2007,44
40-50,Male,Hispanic/Latino,Criminal,NY,Gunshot,2007,41
30-40,Male,Race unspecified,Unreported,CA,Gunshot,2007,37
60-70,Male,African-American/Black,Unreported,CA,Gunshot,2007,60
20-30,Male,African-American/Black,Justified,CA,Gunshot,2007,22
20-30,Male,Race unspecified,Unreported,PA,Gunshot,2007,26
30-40,Female,African-American/Black,Unreported,OK,Tasered,2007,35
30-40,Female,European-American/White,Unreported,KS,Vehicle,2007,38
20-30,Male,Hispanic/Latino,Unreported,IL,Vehicle,2007,24
20-30,Male,Hispanic/Latino,Unreported,IL,Vehicle,2007,20
30-40,Male,Race unspecified,Unreported,IL,Vehicle,2007,31
30-40,Male,European-American/White,Unreported,WI,Gunshot,2007,36
20-30,Male,African-American/Black,Unreported,NC,Gunshot,2007,23
40-50,Male,European-American/White,Justified,OR,Gunshot,2007,43
40-50,Male,Race unspecified,Unreported,FL,Gunshot,2007,49
50-60,Male,Race unspecified,Unreported,WI,Gunshot,2007,54
30-40,Male,African-American/Black,Unreported,TN,Tasered,2007,39
40-50,Male,Race unspecified,Unreported,AR,Fell from a height,2007,47
30-40,Male,European-American/White,Unreported,NE,Gunshot,2007,39
0-10,Male,Race unspecified,Unreported,LA,Gunshot,2007,0
20-30,Male,Race unspecified,Unreported,LA,Gunshot,2007,29
20-30,Male,Race unspecified,Unreported,VA,Gunshot,2007,28
40-50,Male,Race unspecified,Suicide,VA,Gunshot,2007,45
30-40,Male,European-American/White,Suicide,IL,Gunshot,2007,32
50-60,Male,Race unspecified,Suicide,AL,Gunshot,2007,57
50-60,Male,Race unspecified,Suicide,KY,Gunshot,2007,50
40-50,Male,Native American/Alaskan,Unreported,CA,Tasered,2007,47
50-60,Male,Race unspecified,Suicide,CA,Asphyxiated/Restrained,2007,52
40-50,Male,Race unspecified,Unreported,AZ,Gunshot,2007,48
20-30,Male,European-American/White,Unreported,OH,Vehicle,2007,25
50-60,Female,European-American/White,Grand jury/No bill or Cleared,MO,Gunshot,2007,57
20-30,Male,Race unspecified,Suicide,NJ,Gunshot,2007,27
Unknown,Unknown,Race unspecified,Unreported,CO,Vehicle,2007,0
20-30,Male,African-American/Black,Unreported,OH,Gunshot,2007,25
10-20,Male,European-American/White,Unreported,MO,Vehicle,2007,12
10-20,Male,Race unspecified,Unreported,MO,Vehicle,2007,13
30-40,Male,Race unspecified,Unreported,MO,Vehicle,2007,31
40-50,Male,European-American/White,Unreported,MA,Vehicle,2007,45
20-30,Male,European-American/White,Unreported,MA,Vehicle,2007,23
20-30,Male,European-American/White,Justified,MN,Gunshot,2007,28
10-20,Male,African-American/Black,Unreported,CA,Gunshot,2007,18
40-50,Male,Race unspecified,Unreported,WI,Gunshot,2007,41
20-30,Male,Race unspecified,Unreported,MD,Tasered,2007,22
50-60,Male,Race unspecified,Cleared,CA,Asphyxiated/Restrained,2007,51
40-50,Male,Race unspecified,Suicide,CA,Gunshot,2007,42
20-30,Male,Hispanic/Latino,Justified,TX,Gunshot,2007,24
10-20,Male,Race unspecified,Unreported,TN,Vehicle,2007,17
20-30,Male,Hispanic/Latino,Unreported,CA,Gunshot,2007,21
40-50,Male,African-American/Black,Criminal,GA,Gunshot,2007,41
20-30,Male,Hispanic/Latino,Suicide,NV,Gunshot,2007,21
50-60,Male,Race unspecified,Criminal,MD,Vehicle,2007,50
40-50,Male,African-American/Black,Criminal,MD,Vehicle,2007,49
0-10,Male,African-American/Black,Civil suit/Family awarded money,PA,Vehicle,2007,4
50-60,Male,European-American/White,Justified,UT,Gunshot,2007,51
40-50,Male,Hispanic/Latino,Justified,CA,Gunshot,2007,40
10-20,Male,European-American/White,Justified,TN,Gunshot,2007,18
20-30,Male,Race unspecified,Justified,CA,Gunshot,2007,25
20-30,Male,Race unspecified,Justified,CA,Gunshot,2007,21
40-50,Male,Hispanic/Latino,Justified,TX,Gunshot,2007,40
20-30,Male,Race unspecified,Unreported,AL,Vehicle,2007,27
50-60,Male,European-American/White,Unreported,TX,Medical emergency,2007,54
40-50,Male,Race unspecified,Suicide,OH,Gunshot,2007,42
20-30,Female,Race unspecified,Murder/suicide,OH,Gunshot,2007,27
20-30,Male,Race unspecified,Unreported,OH,Drowned,2007,23
30-40,Male,Race unspecified,Suicide,IA,Stabbed,2007,39
Unknown,Male,Race unspecified,Unreported,AL,Vehicle,2007,0
20-30,Male,European-American/White,Criminal,KY,Gunshot,2007,22
40-50,Male,Race unspecified,Justified,FL,Gunshot,2007,41
40-50,Male,Race unspecified,Unreported,TX,Gunshot,2007,42
20-30,Male,European-American/White,Justified,TX,Gunshot,2007,26
20-30,Male,African-American/Black,Grand jury/No bill or Cleared,TX,Gunshot,2007,25
20-30,Male,African-American/Black,Justified,TN,Gunshot,2007,27
20-30,Male,Native American/Alaskan,Unreported,CA,Asphyxiated/Restrained,2007,26
20-30,Male,Race unspecified,Unreported,CA,Gunshot,2007,22
30-40,Male,Race unspecified,Ruled suicide,CA,Fell from a height,2007,31
30-40,Male,European-American/White,Justified,VA,Gunshot,2007,30
30-40,Male,European-American/White,Unreported,CA,Gunshot,2007,35
30-40,Male,European-American/White,Unreported,WA,Gunshot,2007,32
20-30,Male,European-American/White,Unreported,IL,Vehicle,2007,22
30-40,Female,Race unspecified,Murder/suicide,AR,Gunshot,2007,39
40-50,Male,Race unspecified,Suicide,AR,Gunshot,2007,43
50-60,Male,Race unspecified,Unknown,MS,Gunshot,2007,52
40-50,Male,European-American/White,Unknown,NM,Gunshot,2007,42
40-50,Female,Race unspecified,Grand jury/No bill or Cleared,TX,Gunshot,2007,43
20-30,Male,Hispanic/Latino,Unreported,NJ,Gunshot,2007,21
20-30,Male,African-American/Black,Justified,NV,Gunshot,2007,24
10-20,Male,Race unspecified,Unreported,MI,Vehicle,2007,18
10-20,Male,Race unspecified,Unreported,MI,Vehicle,2007,18
40-50,Male,European-American/White,Justified,IA,Gunshot,2007,40
30-40,Male,Race unspecified,Grand jury/No bill or Cleared,TX,Gunshot,2007,32
30-40,Male,Race unspecified,Unreported,CA,Gunshot,2007,33
20-30,Male,Hispanic/Latino,Unreported,GA,Gunshot,2007,23
50-60,Male,European-American/White,Unreported,KS,Gunshot,2007,53
20-30,Male,European-American/White,Justified,FL,Gunshot,2007,29
30-40,Male,Race unspecified,Unreported,WA,Gunshot,2007,30
30-40,Male,European-American/White,Unreported,MI,Vehicle,2007,35
30-40,Male,European-American/White,Unreported,VA,Vehicle,2007,34
30-40,Male,African-American/Black,Other justified (Civilian board/Prosecutor/District Attorney/Coroner),TX,Other,2007,35
40-50,Male,European-American/White,Criminal,GA,Gunshot,2007,49
30-40,Male,Race unspecified,Unreported,IL,Gunshot,2007,34
20-30,Male,Hispanic/Latino,Justified,CA,Gunshot,2007,29
20-30,Male,African-American/Black,Justified,CA,Gunshot,2007,24
50-60,Male,European-American/White,Unreported,TX,Medical emergency,2007,50
30-40,Male,Race unspecified,Criminal,IL,Vehicle,2007,35
10-20,Male,Race unspecified,Unreported,LA,Gunshot,2007,18
50-60,Male,Race unspecified,Suicide,KS,Gunshot,2007,50
30-40,Female,European-American/White,Justified by District Attorney,CA,Gunshot,2007,31
40-50,Male,European-American/White,Unreported,CA,Gunshot,2007,49
40-50,Male,Race unspecified,Suicide,MO,Gunshot,2007,47
20-30,Female,African-American/Black,Justified,NV,Gunshot,2007,24
30-40,Male,European-American/White,Unreported,AZ,Gunshot,2007,34
30-40,Male,Hispanic/Latino,Unreported,TX,Medical emergency,2007,34
60-70,Male,European-American/White,Unreported,IA,Vehicle,2007,62
20-30,Male,African-American/Black,Unreported,CA,Gunshot,2007,20
30-40,Male,African-American/Black,Unreported,FL,Gunshot,2007,35
50-60,Male,European-American/White,Ruled suicide,TX,Gunshot,2007,56
50-60,Male,Race unspecified,Suicide,MO,Gunshot,2007,50
20-30,Female,European-American/White,Officer indicted/Guilty,OH,Undetermined,2007,26
50-60,Male,Race unspecified,Unreported,IL,Gunshot,2007,54
40-50,Male,European-American/White,Unreported,IA,Vehicle,2007,40
20-30,Male,Race unspecified,Justified,IL,Gunshot,2007,28
30-40,Male,Race unspecified,Unreported,NC,Vehicle,2007,35
40-50,Male,European-American/White,Unreported,SD,Vehicle,2007,42
0-10,Male,European-American/White,Unreported,SD,Vehicle,2007,9
10-20,Female,European-American/White,Unreported,SD,Vehicle,2007,13
10-20,Male,African-American/Black,Unreported,FL,Gunshot,2007,19
20-30,Male,European-American/White,Justified,WA,Gunshot,2007,24
10-20,Male,Race unspecified,Justified,FL,Gunshot,2007,19
50-60,Female,European-American/White,Unreported,IA,Medical emergency,2007,52
20-30,Male,Race unspecified,Justified,UT,Gunshot,2007,29
30-40,Male,Race unspecified,Unreported,MI,Vehicle,2007,38
40-50,Male,European-American/White,Justified,OK,Gunshot,2007,43
40-50,Male,Race unspecified,Unreported,NM,Vehicle,2007,41
20-30,Male,Race unspecified,Unreported,IL,Gunshot,2007,26
20-30,Male,Race unspecified,Unreported,OR,Gunshot,2007,24
40-50,Male,European-American/White,Justified,NY,Gunshot,2007,45
50-60,Male,Race unspecified,Suicide,TN,Gunshot,2007,50
20-30,Male,African-American/Black,Justified,IL,Gunshot,2007,22
40-50,Male,Race unspecified,Unreported,NY,Fell from a height,2007,42
40-50,Male,Hispanic/Latino,Accidental,TX,Tasered,2007,47
10-20,Male,European-American/White,Suicide,IN,Gunshot,2007,15
20-30,Male,Race unspecified,Justified,CA,Gunshot,2007,24
20-30,Male,Race unspecified,Justified,OH,Gunshot,2007,21
30-40,Male,Race unspecified,Suicide,KY,Gunshot,2007,31
40-50,Male,Hispanic/Latino,Justified,CA,Gunshot,2007,44
50-60,Male,Race unspecified,Suicide,HI,Gunshot,2007,52
0-10,Female,European-American/White,Unreported,NY,Vehicle,2007,2
0-10,Male,European-American/White,Unreported,NY,Vehicle,2007,6
10-20,Male,European-American/White,Unreported,NY,Vehicle,2007,10
10-20,Male,African-American/Black,Justified,AR,Gunshot,2007,12
20-30,Male,Race unspecified,Unreported,VA,Vehicle,2007,21
20-30,Male,Race unspecified,Unreported,FL,Gunshot,2007,23
20-30,Male,Race unspecified,Unreported,CA,Gunshot,2007,28
20-30,Male,Race unspecified,Justified,GA,Gunshot,2007,22
20-30,Male,Race unspecified,Unreported,CA,Gunshot,2007,29
20-30,Male,African-American/Black,Unreported,CA,Gunshot,2007,26
40-50,Male,Hispanic/Latino,Unreported,CA,Vehicle,2007,46
10-20,Female,Hispanic/Latino,Unreported,CA,Vehicle,2007,17
30-40,Male,Hispanic/Latino,Unreported,CA,Vehicle,2007,33
10-20,Male,Race unspecified,Justified,LA,Gunshot,2007,19
20-30,Male,African-American/Black,Justified,IL,Gunshot,2007,29
30-40,Male,Race unspecified,Unreported,CA,Gunshot,2007,38
30-40,Female,Hispanic/Latino,Unreported,CA,Vehicle,2007,30
30-40,Male,European-American/White,Justified,WA,Gunshot,2007,36
50-60,Male,European-American/White,Unreported,OH,Gunshot,2007,54
30-40,Male,African-American/Black,Grand jury/No bill or Cleared,NJ,Gunshot,2007,31
20-30,Male,African-American/Black,Unreported,NJ,Drowned,2007,25
50-60,Male,African-American/Black,Cleared,MO,Gunshot,2007,59
50-60,Male,Race unspecified,Justified,LA,Gunshot,2007,57
10-20,Male,European-American/White,Justified,ID,Gunshot,2007,19
40-50,Male,Race unspecified,Ruled suicide by police,WI,Gunshot,2007,44
40-50,Male,Race unspecified,Unreported,OR,Gunshot,2007,42
30-40,Male,European-American/White,Justified,NM,Gunshot,2007,34
40-50,Male,Hispanic/Latino,Unreported,CA,Gunshot,2007,43
10-20,Male,African-American/Black,Excusable,NV,Gunshot,2007,18
30-40,Male,Race unspecified,Unreported,CA,Tasered,2007,36
40-50,Male,Hispanic/Latino,Unreported,TX,Undetermined,2007,45
20-30,Male,European-American/White,Suicide,MO,Gunshot,2007,25
30-40,Male,Race unspecified,Suicide,MO,Gunshot,2007,33
60-70,Male,Race unspecified,Unreported,MA,Gunshot,2007,65
40-50,Male,Race unspecified,Unreported,MD,Vehicle,2007,45
10-20,Male,Race unspecified,Suicide,CA,Gunshot,2007,19
10-20,Female,Race unspecified,Unknown,MS,Vehicle,2007,15
20-30,Male,Race unspecified,Unknown,MS,Vehicle,2007,21
10-20,Male,Race unspecified,Unknown,MS,Vehicle,2007,19
40-50,Male,Race unspecified,Excusable,NV,Vehicle,2007,47
40-50,Male,Race unspecified,Unreported,MI,Vehicle,2007,47
30-40,Male,Race unspecified,Grand jury/No bill or Cleared,GA,Gunshot,2007,30
30-40,Male,African-American/Black,Justified,OK,Gunshot,2007,33
20-30,Male,European-American/White,Suicide,IN,Gunshot,2007,21
40-50,Male,European-American/White,Unreported,TX,Gunshot,2007,46
40-50,Male,European-American/White,Justified,UT,Gunshot,2007,45
50-60,Male,Race unspecified,Other justified (Civilian board/Prosecutor/District Attorney/Coroner),WI,Gunshot,2007,52
20-30,Male,Race unspecified,Unreported,NY,Gunshot,2007,23
50-60,Male,European-American/White,Suicide,KY,Gunshot,2007,55
30-40,Male,European-American/White,Justified,PA,Gunshot,2007,39
30-40,Male,African-American/Black,Civil suit/Family awarded money,MI,Gunshot,2007,30
20-30,Male,African-American/Black,Unreported,IN,Gunshot,2007,24
20-30,Male,Race unspecified,Suicide,IL,Gunshot,2007,27
20-30,Male,Race unspecified,Unreported,FL,Gunshot,2007,27
20-30,Male,African-American/Black,Unreported,NY,Tasered,2007,25
40-50,Male,Race unspecified,Justified,AZ,Gunshot,2007,45
30-40,Male,African-American/Black,Unreported,PA,Gunshot,2007,30
40-50,Male,Race unspecified,Justified,CA,Gunshot,2007,41
Unknown,Male,Hispanic/Latino,Unreported,TX,Vehicle,2007,0
Unknown,Male,Hispanic/Latino,Unreported,TX,Vehicle,2007,0
Unknown,Male,Hispanic/Latino,Unreported,TX,Vehicle,2007,0
Unknown,Male,Race unspecified,Administrative discipline,IL,Vehicle,2007,0
60-70,Male,European-American/White,Grand jury/No bill or Cleared,NE,Gunshot,2007,61
50-60,Male,European-American/White,Justified,AZ,Gunshot,2007,55
20-30,Male,African-American/Black,Justified,DE,Gunshot,2007,27
20-30,Male,European-American/White,Ruled suicide,TX,Gunshot,2007,26
70+,Male,Race unspecified,Unreported,GA,Gunshot,2007,72
40-50,Male,European-American/White,Suicide,OH,Gunshot,2007,46
20-30,Male,African-American/Black,Justified,VA,Gunshot,2007,24
20-30,Male,Race unspecified,Ruled suicide,LA,Gunshot,2007,21
40-50,Male,Race unspecified,Unreported,AL,Medical emergency,2007,48
50-60,Male,Race unspecified,Unreported,VA,Vehicle,2007,57
10-20,Female,European-American/White,Unreported,KS,Vehicle,2007,19
30-40,Male,Race unspecified,Justified,WY,Gunshot,2007,36
20-30,Male,African-American/Black,Unreported,CA,Gunshot,2007,22
20-30,Male,African-American/Black,Unreported,CA,Gunshot,2007,20
40-50,Male,European-American/White,Justified,UT,Gunshot,2007,48
30-40,Male,European-American/White,Suicide,IN,Gunshot,2007,39
20-30,Male,Race unspecified,Unreported,VA,Vehicle,2007,20
50-60,Female,African-American/Black,Unreported,IL,Gunshot,2007,50
40-50,Male,European-American/White,Unreported,MI,Vehicle,2007,46
40-50,Male,European-American/White,Other justified (Civilian board/Prosecutor/District Attorney/Coroner),WI,Gunshot,2007,48
20-30,Male,Race unspecified,Unreported,KY,Gunshot,2007,29
30-40,Male,European-American/White,Cleared,CA,Gunshot,2007,30
10-20,Male,European-American/White,Justified,WA,Gunshot,2007,18
40-50,Male,European-American/White,Unreported,WA,Gunshot,2007,41
40-50,Male,Hispanic/Latino,Unreported,CO,Tasered,2007,47
10-20,Male,Race unspecified,Ruled suicide,WA,Gunshot,2007,16
50-60,Male,Race unspecified,Suicide,IL,Gunshot,2007,57
20-30,Female,Race unspecified,Unreported,LA,Vehicle,2007,23
30-40,Male,European-American/White,Justified,CO,Gunshot,2007,32
30-40,Male,Race unspecified,Unreported,PA,Gunshot,2007,37
60-70,Male,European-American/White,Unreported,NJ,Gunshot,2007,60
30-40,Male,African-American/Black,Unreported,CA,Asphyxiated/Restrained,2007,33
20-30,Male,Race unspecified,Unreported,LA,Asphyxiated/Restrained,2007,26
20-30,Male,European-American/White,Unreported,OR,Vehicle,2007,29
50-60,Female,Race unspecified,Unreported,MI,Vehicle,2007,56
20-30,Male,European-American/White,Suicide,KS,Gunshot,2007,21
40-50,Male,Race unspecified,Unreported,KS,Gunshot,2007,41
20-30,Male,European-American/White,Unreported,TX,Gunshot,2007,24
30-40,Male,Race unspecified,Unreported,CA,Gunshot,2007,37
40-50,Male,European-American/White,Ruled suicide,TX,Gunshot,2007,41
10-20,Male,Hispanic/Latino,Unreported,CA,Gunshot,2007,14
40-50,Male,Race unspecified,Suicide,PA,Gunshot,2007,41
40-50,Male,Race unspecified,Justified,CA,Gunshot,2007,43
20-30,Male,European-American/White,Justified,ID,Gunshot,2007,23
40-50,Male,Race unspecified,Suicide,MO,Gunshot,2007,44
30-40,Male,Race unspecified,Unreported,MO,Tasered,2007,36
60-70,Male,European-American/White,Unknown,NV,Gunshot,2007,62
20-30,Male,Race unspecified,Criminal,PA,Vehicle,2007,24
20-30,Male,Hispanic/Latino,Cleared,CA,Gunshot,2007,20
30-40,Male,African-American/Black,Justified,TX,Gunshot,2007,39
60-70,Male,Race unspecified,Unreported,AL,Vehicle,2007,66
50-60,Male,Hispanic/Latino,Officer indicted/Acquitted,TX,Beaten/Bludgeoned with instrument,2007,51
20-30,Male,Race unspecified,Unreported,KY,Vehicle,2007,24
40-50,Male,Race unspecified,Medical emergency,IL,Medical emergency,2007,49
30-40,Male,European-American/White,Unreported,SC,Gunshot,2007,38
20-30,Male,Race unspecified,Justified,FL,Gunshot,2007,21
20-30,Male,African-American/Black,Unreported,CA,Gunshot,2007,24
20-30,Male,African-American/Black,Unreported,MD,Gunshot,2007,25
10-20,Female,European-American/White,Unreported,AL,Vehicle,2007,16
10-20,Female,European-American/White,Unreported,AL,Vehicle,2007,17
10-20,Female,Hispanic/Latino,Criminal,NY,Gunshot,2007,18
30-40,Male,Race unspecified,Justified,CA,Gunshot,2007,32
20-30,Male,Race unspecified,Unreported,CA,Gunshot,2007,21
50-60,Male,Race unspecified,Suicide,KS,Gunshot,2007,59
20-30,Male,Race unspecified,Unreported,WA,Vehicle,2007,21
20-30,Male,European-American/White,Unreported,CA,Gunshot,2007,25
